City_ID,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Cerrito,CO,6.8432,-72.694,50.5,91,57,3.85,moderate rain
109,Bilma,NE,18.6853,12.9164,86.77,22,5,7.94,clear sky
110,Zaysan,KZ,47.4667,84.8667,38.62,35,0,5.93,clear sky
111,Sanok,PL,49.5557,22.2056,50.43,100,96,12.35,overcast clouds
112,Dikson,RU,73.5069,80.5464,33.98,92,100,10.98,overcast clouds
113,Dongsheng,CN,39.8161,109.9776,69.35,57,27,7.58,scattered clouds
114,Nikolskoye,RU,59.7035,30.7861,42.69,95,100,2.95,overcast clouds
115,Peniche,PT,39.3558,-9.3811,59.45,83,8,12.33,clear sky
116,Thompson,CA,55.7435,-97.8558,42.96,65,20,4.61,few clouds
117,Chaihe,CN,44.7667,129.7,72.73,54,72,9.53,broken clouds
118,Klaksvik,FO,62.2266,-6.589,50.92,82,100,26.93,overcast clouds
119,Vila Do Maio,CV,15.1333,-23.2167,77.79,75,100,10.6,overcast clouds
120,Kirando,TZ,-7.4167,30.6,75.02,59,43,5.28,scattered clouds
121,Kholodnyy,RU,62.7167,147.95,26.02,62,98,2.86,overcast clouds
122,Sabha,LY,27.0377,14.4283,82.18,20,0,10.71,clear sky
123,Luklukan,PH,14.3254,122.7124,81.05,86,100,4.72,moderate rain
124,Pacific Grove,US,36.6177,-121.9166,62.02,86,100,8.05,overcast clouds
125,Marsh Harbour,BS,26.5412,-77.0636,81.34,75,3,2.39,clear sky
126,Nacogdoches,US,31.6002,-94.6335,62.24,65,0,0.0,clear sky
127,Narsaq,GL,60.9167,-46.05,35.82,87,100,5.06,overcast clouds
128,Saldanha,ZA,-33.0117,17.9442,44.65,76,27,1.3,scattered clouds
129,Vaitape,PF,-16.5167,-151.75,78.49,68,50,13.11,scattered clouds
130,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,86,100,16.11,light snow
131,Okato,NZ,-39.2,173.8833,57.69,92,91,11.12,overcast clouds
132,Albany,US,42.6001,-73.9662,55.81,77,39,1.01,scattered clouds
133,Necochea,AR,-38.5473,-58.7368,50.67,89,0,8.08,clear sky
134,Wanaka,NZ,-44.7,169.15,43.2,94,84,1.28,broken clouds
135,Alta Floresta,BR,-9.8756,-56.0861,76.98,62,67,3.49,moderate rain
136,Nome,US,64.5011,-165.4064,44.67,70,0,4.61,clear sky
137,Vardo,NO,70.3705,31.1107,37.38,87,100,2.3,overcast clouds
138,Berlevag,NO,70.8578,29.0864,35.6,87,40,11.5,scattered clouds
139,San Jose,US,37.3394,-121.895,64.87,79,20,8.05,few clouds
140,Candelaria,PH,13.9311,121.4233,85.39,68,86,8.59,overcast clouds
141,Visby,SE,57.6409,18.296,50.22,93,100,8.05,overcast clouds
142,Iqaluit,CA,63.7506,-68.5145,26.33,86,20,17.27,few clouds
143,Hildesheim,DE,52.1508,9.9511,54.99,92,2,12.68,clear sky
144,Vao,NC,-22.6667,167.4833,70.72,70,83,8.79,broken clouds
145,Dobsina,SK,48.8207,20.3699,50.95,91,52,3.11,broken clouds
146,Surt,LY,31.2089,16.5887,78.26,82,59,14.9,broken clouds
147,Chapais,CA,49.7834,-74.8492,29.98,86,9,5.06,clear sky
148,Miles City,US,46.4083,-105.8406,54.57,94,100,11.5,overcast clouds
149,Ribeira Grande,PT,38.5167,-28.7,71.87,90,100,26.19,moderate rain
150,Tucurui,BR,-3.7661,-49.6725,75.63,78,80,4.36,broken clouds
151,Santiago,CL,-33.4569,-70.6483,65.25,65,0,8.05,clear sky
152,Leningradskiy,RU,69.3833,178.4167,28.44,78,100,7.0,overcast clouds
153,Deputatskiy,RU,69.3,139.9,13.89,93,68,2.71,broken clouds
154,Tiksi,RU,71.6872,128.8694,22.08,85,99,16.64,overcast clouds
155,Muscat,OM,23.6139,58.5922,87.82,59,0,0.56,clear sky
156,Klyuchi,RU,52.2667,79.1667,39.52,54,7,5.44,clear sky
157,Barrow,US,71.2906,-156.7887,28.42,74,100,11.5,overcast clouds
158,Castro,BR,-24.7911,-50.0119,55.06,95,4,1.43,clear sky
159,La Brea,HN,15.8,-85.9667,73.94,92,100,2.89,overcast clouds
160,Kashan,IR,33.9831,51.4364,70.79,42,0,7.56,clear sky
161,Tibati,CM,6.4667,12.6333,65.41,99,98,2.04,moderate rain
162,Mao,ES,39.8885,4.2658,63.16,82,0,4.61,clear sky
163,Biak,ID,-0.9131,122.8766,85.77,57,85,1.66,overcast clouds
164,Luderitz,NA,-26.6481,15.1594,57.65,69,0,9.69,clear sky
165,Lebu,CL,-37.6167,-73.65,50.09,87,86,3.58,overcast clouds
