City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Kavieng,PG,2022-10-01 16:56:29,-2.5744,150.7967,80.83,80,25,12.24
116,Castro,BR,2022-10-01 16:56:29,-24.7911,-50.0119,68.74,70,84,6.49
117,Nanortalik,GL,2022-10-01 16:56:29,60.1432,-45.2371,40.21,83,99,4.43
118,Bambanglipuro,ID,2022-10-01 16:56:30,-7.95,110.2833,77.13,89,87,5.19
119,Kidal,ML,2022-10-01 16:56:30,18.4411,1.4078,98.26,22,74,12.44
120,Port-Gentil,GA,2022-10-01 16:56:32,-0.7193,8.7815,76.96,88,75,6.91
121,Araouane,ML,2022-10-01 16:56:32,18.9048,-3.5265,98.91,20,28,5.08
122,Bud,US,2022-10-01 16:56:33,39.447,-86.1758,70.68,56,0,14.05
123,Ancud,CL,2022-10-01 16:53:34,-41.8697,-73.8203,55.35,55,15,2.48
124,Cap Malheureux,MU,2022-10-01 16:56:33,-19.9842,57.6142,70.47,71,4,1.99
125,Plettenberg Bay,ZA,2022-10-01 16:56:33,-34.0527,23.3716,58.03,80,70,3.24
126,Lukaya,UG,2022-10-01 16:56:34,-0.1489,31.8748,68.58,74,78,2.86
127,Carutapera,BR,2022-10-01 16:56:34,-1.195,-46.02,87.62,58,79,12.48
128,Beidao,CN,2022-10-01 16:56:34,34.5686,105.8933,66.33,86,89,2.82
129,Torbay,CA,2022-10-01 16:56:35,47.6666,-52.7314,65.88,52,20,25.32
130,Collie,AU,2022-10-01 16:56:35,-33.3667,116.15,49.03,85,1,9.95
131,Larsnes,NO,2022-10-01 16:56:35,62.2028,5.5773,57.0,72,61,4.72
132,Maniitsoq,GL,2022-10-01 16:56:36,65.4167,-52.9,35.74,65,71,2.21
133,Kapaa,US,2022-10-01 16:56:36,22.0752,-159.319,75.18,92,4,1.01
134,Riwaka,NZ,2022-10-01 16:56:36,-41.0833,173.0,48.02,92,100,5.5
135,Garissa,KE,2022-10-01 16:54:21,-0.4536,39.6401,81.48,48,68,25.12
136,Mataura,NZ,2022-10-01 16:57:37,-46.1927,168.8643,32.2,99,12,1.97
137,Alice Springs,AU,2022-10-01 16:57:37,-23.7,133.8833,65.21,31,100,8.05
138,Mankono,CI,2022-10-01 16:57:38,8.0586,-6.1897,80.76,81,83,1.52
139,Aksu,CN,2022-10-01 16:57:38,41.1231,80.2644,64.45,38,94,17.96
140,Orzhytsya,UA,2022-10-01 16:57:38,49.7918,32.7012,63.39,66,100,5.32
141,Mitsamiouli,KM,2022-10-01 16:57:39,-11.3847,43.2844,75.38,74,33,4.97
142,Saint-Philippe,RE,2022-10-01 16:57:39,-21.3585,55.7679,69.39,77,41,11.07
143,Bonavista,CA,2022-10-01 16:57:39,48.6499,-53.1147,61.14,61,11,12.64
144,Baker City,US,2022-10-01 16:57:39,44.7749,-117.8344,58.64,61,2,2.91
145,Mokrousovo,RU,2022-10-01 16:57:40,55.8103,66.7653,30.16,62,23,7.7
146,Saldanha,ZA,2022-10-01 16:57:40,-33.0117,17.9442,68.05,77,98,20.04
147,Fare,PF,2022-10-01 16:57:40,-16.7,-151.0167,77.11,71,65,7.07
148,Isangel,VU,2022-10-01 16:57:41,-19.55,169.2667,75.38,89,27,3.13
149,Bastia,FR,2022-10-01 16:57:41,42.6667,9.3333,69.3,58,40,6.91
150,Sitka,US,2022-10-01 16:57:41,57.0531,-135.33,52.61,92,100,9.22
151,Balta,UA,2022-10-01 16:57:42,47.9355,29.6198,69.8,45,98,7.56
152,Svetlogorsk,BY,2022-10-01 16:57:42,52.6333,29.7333,53.82,81,90,8.84
153,Nishihara,JP,2022-10-01 16:57:42,26.1842,127.7558,79.88,78,2,3.44
154,Ayorou,NE,2022-10-01 16:57:43,14.7308,0.9174,95.02,32,74,11.5
155,Fairview,US,2022-10-01 16:53:00,40.8126,-73.999,58.55,89,100,17.27
156,Cleburne,US,2022-10-01 16:57:43,32.3476,-97.3867,78.22,36,0,5.99
157,Sao Filipe,CV,2022-10-01 16:57:44,14.8961,-24.4956,79.32,78,17,9.6
158,Cidreira,BR,2022-10-01 16:57:44,-30.1811,-50.2056,66.04,72,74,13.71
159,Mount Isa,AU,2022-10-01 16:57:44,-20.7333,139.5,73.17,31,100,0.0
160,Airai,TL,2022-10-01 16:57:45,-8.9266,125.4092,61.29,93,97,0.36
161,Hudiksvall,SE,2022-10-01 16:57:45,61.729,17.1036,51.3,80,96,3.65
162,Lagoa,PT,2022-10-01 16:57:45,39.05,-27.9833,71.29,78,14,20.2
163,Pevek,RU,2022-10-01 16:57:46,69.7008,170.3133,33.4,81,100,5.57
164,Mahebourg,MU,2022-10-01 16:57:46,-20.4081,57.7,70.25,78,40,8.05
165,Georgiyevka,KZ,2022-10-01 16:57:46,43.0369,74.7114,42.84,26,0,6.71
166,Maraa,BR,2022-10-01 16:55:00,-1.8333,-65.3667,96.66,38,94,1.81
167,Dahra,DZ,2022-10-01 16:57:47,36.2546,0.8519,74.59,60,38,13.49
168,Loandjili,CG,2022-10-01 16:57:47,-4.7561,11.8578,76.87,87,89,9.98
169,Andenes,NO,2022-10-01 16:57:47,69.3143,16.1194,42.93,70,0,4.61
170,Makakilo City,US,2022-10-01 16:57:48,21.3469,-158.0858,75.43,83,2,6.04
171,Chokurdakh,RU,2022-10-01 16:57:48,70.6333,147.9167,22.62,91,100,4.54
172,Roald,NO,2022-10-01 16:57:49,62.5833,6.1333,57.9,82,75,8.05
173,Bengkulu,ID,2022-10-01 16:57:49,-3.8004,102.2655,75.16,95,99,5.01
174,Prince Rupert,CA,2022-10-01 16:55:01,54.3161,-130.3201,57.29,86,100,29.93
175,Sola,VU,2022-10-01 16:57:50,-13.8833,167.55,79.34,78,19,10.2
176,Ponta Do Sol,PT,2022-10-01 16:57:50,32.6667,-17.1,75.83,67,81,2.62
177,Sioux Lookout,CA,2022-10-01 16:55:54,50.1001,-91.917,48.27,76,100,8.05
178,Los Llanos De Aridane,ES,2022-10-01 16:53:57,28.6585,-17.9182,71.35,72,75,13.8
179,Puerto Quijarro,BO,2022-10-01 16:57:51,-17.7833,-57.7667,99.54,27,9,3.06
180,Thunder Bay,CA,2022-10-01 16:54:42,48.4001,-89.3168,51.78,76,100,11.5
181,Vanimo,PG,2022-10-01 16:58:51,-2.6741,141.3028,77.76,88,68,4.99
182,Challans,FR,2022-10-01 16:58:52,46.8436,-1.8749,65.32,94,95,13.6
183,Paita,PE,2022-10-01 16:58:52,-5.0892,-81.1144,70.23,69,55,13.47
184,Cabedelo,BR,2022-10-01 16:58:41,-6.9811,-34.8339,84.87,63,18,17.29
185,Lermontovka,RU,2022-10-01 16:58:53,47.1453,134.3383,44.78,94,34,2.98
186,Talnakh,RU,2022-10-01 16:58:53,69.4865,88.3972,29.21,97,100,6.04
187,Berlevag,NO,2022-10-01 16:58:53,70.8578,29.0864,40.95,87,100,8.05
188,Semenivka,UA,2022-10-01 16:58:54,52.1783,32.5818,54.86,86,100,7.16
189,Ocean City,US,2022-10-01 16:57:28,39.2776,-74.5746,65.98,91,97,11.01
190,Ilulissat,GL,2022-10-01 16:58:55,69.2167,-51.1,30.85,63,33,0.4
191,Whitianga,NZ,2022-10-01 16:58:56,-36.8333,175.7,60.04,98,99,2.1
192,Agadez,NE,2022-10-01 16:58:56,19.75,10.25,98.35,16,43,8.84
193,Tahlequah,US,2022-10-01 16:57:12,35.9154,-94.97,79.09,20,0,0.0
194,Provideniya,RU,2022-10-01 16:58:57,64.3833,-173.3,37.62,85,82,16.31
195,Bonthe,SL,2022-10-01 16:58:57,7.5264,-12.505,78.46,83,84,7.99
196,Cape Canaveral,US,2022-10-01 16:56:33,28.4058,-80.6048,84.27,62,6,4.83
197,Guerrero Negro,MX,2022-10-01 16:58:58,27.9769,-114.0611,72.57,67,4,13.89
198,San Cristobal,VE,2022-10-01 16:58:58,7.7669,-72.225,78.98,49,98,8.61
199,Mana,GF,2022-10-01 16:58:58,5.6592,-53.7767,87.03,61,20,10.98
200,Lyubech,UA,2022-10-01 16:58:59,51.7026,30.6569,56.23,85,100,4.25
