City_ID,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
261,Hasaki,JP,86.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
262,Nelson Bay,AU,66.0,few clouds,-32.7167,152.15,Mantra Nelson Bay
263,Nantucket,US,62.71,moderate rain,41.2835,-70.0995,Jared Coffin House
268,Arraial Do Cabo,BR,67.6,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
269,Panguna,PG,76.46,light rain,-6.3164,155.4848, 
270,Tagusao,PH,86.43,broken clouds,9.1924,117.8141,Caycay future beach resort
272,Faanui,PF,78.48,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
273,Manbij,SY,72.18,clear sky,36.5281,37.9549,Manbej City Hotel
275,Salinopolis,BR,78.75,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
277,Kastrakion,GR,63.01,clear sky,39.7156,21.6181,Dellas Boutique Hotel
278,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
279,Mayor Pablo Lagerenza,PY,72.84,clear sky,-19.9309,-60.7718, 
280,Huarmey,PE,61.86,scattered clouds,-10.0681,-78.1522,Hotel Miramar
282,Kamaishi,JP,73.76,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
283,Natal,BR,77.22,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
284,Kahului,US,84.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
285,Guerrero Negro,MX,69.33,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
286,Ialibu,PG,73.38,overcast clouds,-6.2821,143.9935,PITPIT PASPAS GUESTHOUSE
287,Coahuayana,MX,76.42,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
291,Pemangkat,ID,82.26,moderate rain,1.1667,108.9667,Hotel Duyung Permai 2
292,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
293,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
294,Helong,CN,71.28,moderate rain,42.5397,128.9972,Helong Hotel
295,Sarangani,PH,83.52,very heavy rain,5.4033,125.4636,JVL Inn and Cafeteria
296,Bulakamba,ID,87.24,overcast clouds,-6.8748,108.9559,Rona
299,Luocheng,CN,76.96,overcast clouds,29.3848,104.0286,Luocheng Hotel
300,Gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
301,Takoradi,GH,74.21,overcast clouds,4.8845,-1.7554,Raybow International Hotel
303,San Patricio,US,78.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
304,Saint-Francois,FR,60.24,broken clouds,46.4154,3.9054,Maison Vin d'Hus
305,Vostok,RU,62.56,scattered clouds,46.4856,135.8833, 
306,Atambua,ID,83.66,scattered clouds,-9.1061,124.8925,Ros Muskanan
307,Marzuq,YE,76.41,few clouds,14.4,46.4667,حيد القفلة
309,Komatipoort,ZA,69.04,scattered clouds,-25.4332,31.9548,Kruger View Backpackers
310,Auki,SB,83.12,scattered clouds,-8.7676,160.7034,Auki Motel
312,Quelimane,MZ,69.75,clear sky,-17.8786,36.8883,Hotel Flamingo
313,Bathsheba,BB,80.89,few clouds,13.2167,-59.5167,Atlantis Hotel
314,Isparta,TR,64.87,scattered clouds,38.0,31.0,FAME RESIDENCE LARA
316,Kashi,CN,63.61,dust,39.4547,75.9797,帕米尔青年旅舍
319,Hervey Bay,AU,64.02,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
320,Dwarka,IN,82.6,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
321,Kindu,CD,66.43,overcast clouds,-2.95,25.95,Résidence Okanda
322,Meulaboh,ID,83.05,overcast clouds,4.1363,96.1285,Kost Pria
323,Caravelas,BR,70.32,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
324,Nguru,NG,80.56,scattered clouds,12.8791,10.4526,Government Lodge
327,Vicosa,BR,65.19,broken clouds,-20.7539,-42.8819,Vivant Residence
328,Lagos,NG,77.32,overcast clouds,6.5833,3.75, 
330,Luwuk,ID,88.7,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
333,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
338,Lorengau,PG,83.89,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
340,Alanya,TR,82.4,clear sky,36.5438,31.9998,Panorama Hotel
341,Katsina,NG,77.49,scattered clouds,12.9894,7.6006,Katsina Motel
343,Bonfim,BR,77.9,overcast clouds,3.0833,-59.95, 
345,Calabozo,VE,74.03,overcast clouds,8.9242,-67.4293,Hotel Giardini
347,Am Timan,TD,73.2,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
350,West Wendover,US,61.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
351,Los Llanos De Aridane,ES,65.95,broken clouds,28.6585,-17.9182,Valle Aridane
352,Kapiri Mposhi,ZM,63.97,clear sky,-13.9652,28.6809,MA 22 LODGE
354,Black River,JM,77.18,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
355,Bonoua,CI,76.62,light rain,5.2741,-3.595,Hotel Bon Samaritian
356,Balugaon,IN,85.14,broken clouds,20.1667,85.1,Kridashpur Kalyan Mandap
358,Bengkulu,ID,80.92,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
360,Norman,US,70.21,clear sky,35.2226,-97.4395,"Country Inn & Suites by Radisson, Norman, OK"
361,Eyl,SO,77.74,overcast clouds,7.9803,49.8164,EYL AQUE SYSTEM
365,Laa,SL,70.86,light rain,8.0797,-10.7732, 
366,Laredo,US,77.29,clear sky,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
369,Jibuti,DJ,80.33,clear sky,11.5,42.5,Orchid Main Camp Goubet
372,Cua,VE,79.59,broken clouds,10.1589,-66.8858,Agropecuaria Amparo del Altísimo
374,Buala,SB,84.25,light rain,-8.145,159.5921,Maringe Lagoon Lodge
375,Dingle,PH,87.19,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
376,Komsomolskiy,UZ,61.52,broken clouds,40.4272,71.7189,Ikathouse
377,Jiangyou,CN,73.47,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
379,Paris,FR,62.19,light intensity drizzle,48.8534,2.3488,Britannique Hotel - Paris Centre
380,Nampula,MZ,66.15,clear sky,-15.1165,39.2666,Ruby Backpackers
381,San Quintin,MX,67.87,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
382,Along,IN,86.23,scattered clouds,28.1667,94.7667,Hotel West
383,Alappuzha,IN,84.0,overcast clouds,9.49,76.3264,Panoramic Sea Resort
384,Camiri,BO,64.4,clear sky,-20.05,-63.5167,J R Hotel
385,Uribia,CO,81.54,broken clouds,11.7139,-72.266,Hotel Uribia
387,Wembley,AU,69.69,broken clouds,-31.9333,115.8,Floreat Garden
389,Tanuma,JP,83.55,scattered clouds,36.3667,139.5833,Global action partners
393,Lompoc,US,63.93,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
395,Kavaratti,IN,81.43,broken clouds,10.5669,72.642,Green leaf
397,Kasongo-Lunda,CD,70.43,overcast clouds,-6.4667,16.8167, 
398,Naze,JP,83.32,scattered clouds,28.3667,129.4833,Shishime Hotel
399,Kota Kinabalu,MY,89.58,few clouds,5.9749,116.0724,Gaya Centre Hotel
401,Umkomaas,ZA,67.6,overcast clouds,-30.2067,30.7978,The Norwegian Lodge
402,Lazaro Cardenas,MX,77.45,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
403,Malindi,KE,75.29,scattered clouds,-3.2175,40.1191,African House Resort
404,Leninskoye,KZ,60.57,clear sky,41.7589,69.3864,Қалдыбайдың үйі 🏘️
405,Sao Domingos Do Prata,BR,64.04,broken clouds,-19.865,-42.9683,Hotel Santa Isabel
406,Flinders,AU,61.25,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
407,Aleksandrovka,UA,67.17,light rain,46.8383,32.7612, 
408,Norcasia,CO,67.69,scattered clouds,5.5778,-74.8852,Hotel Amani
409,Independence,US,65.19,clear sky,39.0911,-94.4155,Higher Ground Hotel
410,Colares,PT,68.9,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
411,Praia Da Vitoria,PT,72.75,few clouds,38.7333,-27.0667,Hotel Branco I
412,Pontes E Lacerda,BR,75.85,few clouds,-15.2261,-59.3353,Hotel Bressan
417,Landerneau,FR,62.78,overcast clouds,48.4525,-4.2525,Le Clos Du Pontic
419,Belmopan,BZ,75.58,overcast clouds,17.25,-88.7667,Villa San Juan
420,Fonte Boa,BR,72.52,overcast clouds,-2.4959,-66.2662, 
421,Bukama,CD,72.84,overcast clouds,-9.2,25.85, 
422,Pauini,BR,75.4,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
424,Zabol,AF,67.24,clear sky,32.25,67.25, 
425,Broken Hill,AU,71.51,broken clouds,-31.95,141.4333,Royal Exchange Hotel
426,Hobyo,SO,77.11,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
429,Inirida,CO,71.98,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
430,Isla Vista,US,64.99,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
431,Lakatoro,VU,82.65,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
432,Vanimo,PG,85.82,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
434,Floresta,BR,69.76,clear sky,-8.6011,-38.5686,Hotel Floresta
435,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
437,Arinos,BR,75.4,clear sky,-15.9169,-46.1056,casa do bruno
438,Labuhan,ID,88.57,overcast clouds,-6.8844,112.2051,DoubleFAG
440,Puerto Del Rosario,ES,71.35,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
441,Cap Malheureux,MU,74.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
444,Carutapera,BR,78.51,scattered clouds,-1.195,-46.02,Lidera
445,Salvador,SV,71.06,overcast clouds,13.8333,-88.9167,Chico's Ranch
446,Kavieng,PG,84.47,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
448,Ahipara,NZ,61.12,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
451,Kaeo,NZ,61.11,scattered clouds,-35.1,173.7833,Bushido Lodge
452,Lagoa,PT,71.06,overcast clouds,39.05,-27.9833,Casa Das Faias
453,Ettaiyapuram,IN,85.66,overcast clouds,9.1441,77.9907,NR Mahal & Rooms
454,Mpanda,TZ,69.35,scattered clouds,-6.3655,31.0409,CH Hotel - Mpanda
455,Simao,CN,70.59,overcast clouds,22.7886,100.9748,Changyu Hotel
456,Pulivendla,IN,81.0,overcast clouds,14.4167,78.2333,Kothabalaji
459,Sucua,EC,63.88,few clouds,-2.4667,-78.1667,Finca el Piura
460,Jamame,SO,76.89,broken clouds,0.0722,42.7506, 
461,Mattru,SL,71.82,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
464,Corpus Christi,US,78.98,clear sky,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
466,Antalaha,MG,70.11,light rain,-14.9003,50.2788,Hotel Vitasoa
468,Krasnooktyabrskiy,RU,63.25,overcast clouds,44.9328,38.3712, 
470,Corn Island,NI,82.22,overcast clouds,12.1694,-83.0418,Big Fish Guest House
471,Liwale,TZ,64.08,clear sky,-9.7667,37.9333,Tumaini Tulivu Lodge
472,Kutum,SD,74.44,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
